id,cart_id,product_id,quantity,gift_packaging,customizations,created_at,updated_at,selected_size,selected_color,unit_price
168ab6db-beb9-4907-bdfa-12a897dbb63c,8601e4d6-9887-48c9-b1e5-276c4a2950ba,926d77ce-afaf-4128-b696-009241b952f5,1,false,"[{""question"":""custom size requirement"",""answerType"":""text""}]",2026-05-19 07:23:27.858775+00,2026-05-19 07:23:27.858775+00,M,,3999
6a81a357-9272-401c-a122-80d0fe59c8c6,52365fad-a693-46d6-b008-617bc38fa698,d34b92ac-36b8-4d8c-bd35-cd0b88a6446d,1,false,"[{""answer"":""Siya"",""question"":""Children's Name"",""answerType"":""text""},{""answer"":""6,3,7"",""question"":""Colour Patterns - Number per letter"",""answerType"":""text""},{""question"":""any reference image"",""answerType"":""photo""}]",2026-06-17 04:36:48.129723+00,2026-06-17 04:36:48.129723+00,3 Letters,,500
8f428c19-de49-4cf4-ad85-78708d71b066,cf082cb9-9da4-4866-9d87-f1e87f2e925b,a2b1be86-df00-4571-86d8-0439d6e4508e,1,false,[],2026-06-06 04:43:43.657536+00,2026-06-06 04:43:43.657536+00,,,
9b01a54a-d253-4f05-86ec-d6bc7688804b,74078e32-048a-4114-b922-6413df6e493d,4e85da57-2847-43c0-9113-66b33d0dead4,3,false,[],2026-06-07 10:19:58.898301+00,2026-06-07 10:19:58.898301+00,,Purple gypsy,350
efbea278-2252-4601-93cf-d5eb10b6c00d,7ec48acb-bf32-492a-9811-267769875bc3,65b4de10-4189-4ec3-b43f-268ba10efd5d,1,false,"[{""answer"":""No"",""question"":""Any dietary restrictions?"",""answerType"":""text""},{""answer"":""Yes"",""question"":""Message for the card?"",""answerType"":""text""}]",2026-05-08 19:14:20.623509+00,2026-05-08 19:14:20.623509+00,small,rose gold,499
