id,name,average_rating,rating_count
d8ef1d4c-865c-43d8-891f-6f6bedcb7637,Rose flower pot,0,0
dc51474f-b58c-4a97-94cf-4fceacb3557c,Peach blossom hair pin (pack of 3),0,0
e1bb9e1c-587d-41d4-8a70-b65bfb36a733,Monster Lamp,0,0
e360c3e7-0134-4e14-a3ee-29b381b85999,Artisan Chocolate Gift Box,0,0
e44146ec-f881-4541-a6e4-ce903101ad66,Red hood mask,0,0
e5033c2d-25ec-41e3-9881-8b684ffbdded,9099 Spider-man mask,0,0
e5d2ebe6-5254-474b-9b81-94089838f1ba,Bougainvillea flower hair accessories,0,0
e956dcbe-6584-495b-a510-de093d417f60,Kunchi Aurora,0,0
e9f7382a-e6cb-44fa-bf71-d5c738850023,"Resin keychain ",0,0
ef9651dd-e2bf-4fb9-8c85-6fbdac00e8b6,Crochet Evil Eye Keychain,0,0
f52b9d79-f3ef-4983-a991-ec55f9390625,Gift Hamper for Him,0,0
fa8f2945-d605-4f7b-8345-4b4f639fb49d,Cigarette case,0,0
fbc1f85a-0b73-4434-8122-081a37dab2c3,Apothecary Luxury Candle,0,0
fc9d3c85-683b-4753-a621-ac16432df080,Sunday Linen Luxury Candle,0,0
fcba2642-1638-4c39-8352-89701eb00262,Evil eye bag charm,0,0
ffcaf93e-8617-452d-9be0-996160183fc9,Iced Coffee Candle,0,0
